code,finish,cost_usd,category
B06,Elegant White,89.0,BASE CABINETS
B09,Elegant White,154.0,BASE CABINETS
B12,Elegant White,178.0,BASE CABINETS
B15,Elegant White,204.0,BASE CABINETS
B18,Elegant White,219.0,BASE CABINETS
B21,Elegant White,243.0,BASE CABINETS
B24,Elegant White,270.0,BASE CABINETS
B27,Elegant White,311.0,BASE CABINETS
B30,Elegant White,338.0,BASE CABINETS
B33,Elegant White,358.0,BASE CABINETS
B36,Elegant White,378.0,BASE CABINETS
B39,Elegant White,392.0,BASE CABINETS
B42,Elegant White,402.0,BASE CABINETS
BM30,Elegant White,338.0,BASE CABINETS
BSR09,Elegant White,189.0,BASE CABINETS
BWBK18,Elegant White,299.0,BASE CABINETS
BBC33(39),Elegant White,329.0,BASE CABINETS
BBC42(45),Elegant White,448.0,BASE CABINETS
DB12-3,Elegant White,267.0,BASE CABINETS
DB15-3,Elegant White,300.0,BASE CABINETS
DB18-3,Elegant White,320.0,BASE CABINETS
DB21-3,Elegant White,352.0,BASE CABINETS
DB24-3,Elegant White,378.0,BASE CABINETS
DB27-3,Elegant White,389.0,BASE CABINETS
DB30-3,Elegant White,404.0,BASE CABINETS
DB33-3,Elegant White,482.0,BASE CABINETS
DB36-3,Elegant White,482.0,BASE CABINETS
LS3309,Elegant White,528.0,BASE CABINETS
LS3612,Elegant White,539.0,BASE CABINETS
BEA12L/R,Elegant White,223.0,BASE CABINETS
BES09L/R,Elegant White,200.0,BASE CABINETS
B06,Grey Shaker,89.0,BASE CABINETS
B09,Grey Shaker,154.0,BASE CABINETS
B12,Grey Shaker,178.0,BASE CABINETS
B15,Grey Shaker,204.0,BASE CABINETS
B18,Grey Shaker,219.0,BASE CABINETS
B21,Grey Shaker,243.0,BASE CABINETS
B24,Grey Shaker,270.0,BASE CABINETS
B27,Grey Shaker,311.0,BASE CABINETS
B30,Grey Shaker,338.0,BASE CABINETS
B33,Grey Shaker,358.0,BASE CABINETS
B36,Grey Shaker,378.0,BASE CABINETS
B39,Grey Shaker,392.0,BASE CABINETS
B42,Grey Shaker,402.0,BASE CABINETS
BM30,Grey Shaker,338.0,BASE CABINETS
BSR09,Grey Shaker,189.0,BASE CABINETS
BWBK18,Grey Shaker,299.0,BASE CABINETS
BBC33(39),Grey Shaker,329.0,BASE CABINETS
BBC42(45),Grey Shaker,448.0,BASE CABINETS
DB12-3,Grey Shaker,267.0,BASE CABINETS
DB15-3,Grey Shaker,300.0,BASE CABINETS
DB18-3,Grey Shaker,320.0,BASE CABINETS
DB21-3,Grey Shaker,352.0,BASE CABINETS
DB24-3,Grey Shaker,378.0,BASE CABINETS
DB27-3,Grey Shaker,389.0,BASE CABINETS
DB30-3,Grey Shaker,404.0,BASE CABINETS
DB33-3,Grey Shaker,482.0,BASE CABINETS
DB36-3,Grey Shaker,482.0,BASE CABINETS
LS3309,Grey Shaker,528.0,BASE CABINETS
LS3612,Grey Shaker,539.0,BASE CABINETS
BEA12L/R,Grey Shaker,223.0,BASE CABINETS
BES09L/R,Grey Shaker,200.0,BASE CABINETS
B06,Espresso Shaker,89.0,BASE CABINETS
B09,Espresso Shaker,154.0,BASE CABINETS
B12,Espresso Shaker,178.0,BASE CABINETS
B15,Espresso Shaker,204.0,BASE CABINETS
B18,Espresso Shaker,219.0,BASE CABINETS
B21,Espresso Shaker,243.0,BASE CABINETS
B24,Espresso Shaker,270.0,BASE CABINETS
B27,Espresso Shaker,311.0,BASE CABINETS
B30,Espresso Shaker,338.0,BASE CABINETS
B33,Espresso Shaker,358.0,BASE CABINETS
B36,Espresso Shaker,378.0,BASE CABINETS
B39,Espresso Shaker,392.0,BASE CABINETS
B42,Espresso Shaker,402.0,BASE CABINETS
BM30,Espresso Shaker,338.0,BASE CABINETS
BSR09,Espresso Shaker,189.0,BASE CABINETS
BWBK18,Espresso Shaker,299.0,BASE CABINETS
BBC33(39),Espresso Shaker,329.0,BASE CABINETS
BBC42(45),Espresso Shaker,448.0,BASE CABINETS
DB12-3,Espresso Shaker,267.0,BASE CABINETS
DB15-3,Espresso Shaker,300.0,BASE CABINETS
DB18-3,Espresso Shaker,320.0,BASE CABINETS
DB21-3,Espresso Shaker,352.0,BASE CABINETS
DB24-3,Espresso Shaker,378.0,BASE CABINETS
DB27-3,Espresso Shaker,389.0,BASE CABINETS
DB30-3,Espresso Shaker,404.0,BASE CABINETS
DB33-3,Espresso Shaker,482.0,BASE CABINETS
DB36-3,Espresso Shaker,482.0,BASE CABINETS
LS3309,Espresso Shaker,528.0,BASE CABINETS
LS3612,Espresso Shaker,539.0,BASE CABINETS
BEA12L/R,Espresso Shaker,223.0,BASE CABINETS
BES09L/R,Espresso Shaker,200.0,BASE CABINETS
B06,Metallic Shaker,93.0,BASE CABINETS
B09,Metallic Shaker,162.0,BASE CABINETS
B12,Metallic Shaker,182.0,BASE CABINETS
B15,Metallic Shaker,213.0,BASE CABINETS
B18,Metallic Shaker,230.0,BASE CABINETS
B21,Metallic Shaker,255.0,BASE CABINETS
B24,Metallic Shaker,283.0,BASE CABINETS
B27,Metallic Shaker,327.0,BASE CABINETS
B30,Metallic Shaker,355.0,BASE CABINETS
B33,Metallic Shaker,376.0,BASE CABINETS
B36,Metallic Shaker,397.0,BASE CABINETS
B39,Metallic Shaker,412.0,BASE CABINETS
B42,Metallic Shaker,423.0,BASE CABINETS
BM30,Metallic Shaker,355.0,BASE CABINETS
BSR09,Metallic Shaker,198.0,BASE CABINETS
BWBK18,Metallic Shaker,309.0,BASE CABINETS
BBC33(39),Metallic Shaker,346.0,BASE CABINETS
BBC42(45),Metallic Shaker,470.0,BASE CABINETS
LS3309,Metallic Shaker,554.0,BASE CABINETS
LS3612,Metallic Shaker,566.0,BASE CABINETS
BEA12L/R,Metallic Shaker,234.0,BASE CABINETS
BES09L/R,Metallic Shaker,210.0,BASE CABINETS
DB12-3,Metallic Shaker,280.0,BASE CABINETS
DB15-3,Metallic Shaker,315.0,BASE CABINETS
DB18-3,Metallic Shaker,336.0,BASE CABINETS
DB21-3,Metallic Shaker,369.0,BASE CABINETS
DB24-3,Metallic Shaker,397.0,BASE CABINETS
DB27-3,Metallic Shaker,408.0,BASE CABINETS
DB30-3,Metallic Shaker,424.0,BASE CABINETS
DB33-3,Metallic Shaker,506.0,BASE CABINETS
DB36-3,Metallic Shaker,509.0,BASE CABINETS
B06,Blue Shaker,95.0,BASE CABINETS
B09,Blue Shaker,169.0,BASE CABINETS
B12,Blue Shaker,182.0,BASE CABINETS
B15,Blue Shaker,213.0,BASE CABINETS
B18,Blue Shaker,230.0,BASE CABINETS
B21,Blue Shaker,259.0,BASE CABINETS
B24,Blue Shaker,289.0,BASE CABINETS
B27,Blue Shaker,337.0,BASE CABINETS
B30,Blue Shaker,385.0,BASE CABINETS
B33,Blue Shaker,404.0,BASE CABINETS
B36,Blue Shaker,423.0,BASE CABINETS
B39,Blue Shaker,442.0,BASE CABINETS
B42,Blue Shaker,487.0,BASE CABINETS
BM30,Blue Shaker,384.0,BASE CABINETS
BSR09,Blue Shaker,187.0,BASE CABINETS
BWBK18,Blue Shaker,339.0,BASE CABINETS
BBC33(39),Blue Shaker,408.0,BASE CABINETS
BBC42(45),Blue Shaker,502.0,BASE CABINETS
LS3309,Blue Shaker,628.0,BASE CABINETS
LS3612,Blue Shaker,640.0,BASE CABINETS
BEA12L/R,Blue Shaker,265.0,BASE CABINETS
BES09L/R,Blue Shaker,229.0,BASE CABINETS
DB12-3,Blue Shaker,328.0,BASE CABINETS
DB15-3,Blue Shaker,338.0,BASE CABINETS
DB18-3,Blue Shaker,361.0,BASE CABINETS
DB21-3,Blue Shaker,389.0,BASE CABINETS
DB24-3,Blue Shaker,409.0,BASE CABINETS
DB27-3,Blue Shaker,457.0,BASE CABINETS
DB30-3,Blue Shaker,478.0,BASE CABINETS
DB33-3,Blue Shaker,576.0,BASE CABINETS
DB36-3,Blue Shaker,576.0,BASE CABINETS
B06,Natural Wood,95.0,BASE CABINETS
B09,Natural Wood,169.0,BASE CABINETS
B12,Natural Wood,182.0,BASE CABINETS
B15,Natural Wood,213.0,BASE CABINETS
B18,Natural Wood,230.0,BASE CABINETS
B21,Natural Wood,259.0,BASE CABINETS
B24,Natural Wood,289.0,BASE CABINETS
B27,Natural Wood,337.0,BASE CABINETS
B30,Natural Wood,385.0,BASE CABINETS
B33,Natural Wood,404.0,BASE CABINETS
B36,Natural Wood,423.0,BASE CABINETS
B39,Natural Wood,442.0,BASE CABINETS
B42,Natural Wood,487.0,BASE CABINETS
BM30,Natural Wood,384.0,BASE CABINETS
