code,finish,cost_usd,category
BF0924,Houston Frost,111.0,BASE CABINETS
B12,Houston Frost,161.0,BASE CABINETS
B15,Houston Frost,175.0,BASE CABINETS
B18,Houston Frost,188.0,BASE CABINETS
B21,Houston Frost,202.0,BASE CABINETS
B24,Houston Frost,223.0,BASE CABINETS
B27,Houston Frost,237.0,BASE CABINETS
B30,Houston Frost,252.0,BASE CABINETS
B33,Houston Frost,265.0,BASE CABINETS
B36,Houston Frost,279.0,BASE CABINETS
B39,Houston Frost,346.0,BASE CABINETS
B42,Houston Frost,383.0,BASE CABINETS
DB12,Houston Frost,260.0,BASE CABINETS
DB15,Houston Frost,283.0,BASE CABINETS
DB18,Houston Frost,306.0,BASE CABINETS
DB21,Houston Frost,329.0,BASE CABINETS
DB24,Houston Frost,352.0,BASE CABINETS
DB27,Houston Frost,362.0,BASE CABINETS
DB30,Houston Frost,384.0,BASE CABINETS
DB33,Houston Frost,402.0,BASE CABINETS
DB36,Houston Frost,412.0,BASE CABINETS
DB24-2,Houston Frost,352.0,BASE CABINETS
DB30-2,Houston Frost,384.0,BASE CABINETS
BMC30,Houston Frost,267.0,BASE CABINETS
LSB33,Houston Frost,420.0,BASE CABINETS
LSB36,Houston Frost,442.0,BASE CABINETS
BBC39/42,Houston Frost,300.0,BASE CABINETS
BBC42/45,Houston Frost,343.0,BASE CABINETS
BF09-PO,Houston Frost,207.0,BASE CABINETS
BES12L,Houston Frost,156.0,BASE CABINETS
BES12R,Houston Frost,156.0,BASE CABINETS
BEC24,Houston Frost,206.0,BASE CABINETS
B18TR,Houston Frost,234.0,BASE CABINETS
BF0924,Houston Ash,122.0,BASE CABINETS
B12,Houston Ash,177.0,BASE CABINETS
B15,Houston Ash,192.0,BASE CABINETS
B18,Houston Ash,207.0,BASE CABINETS
B21,Houston Ash,223.0,BASE CABINETS
B24,Houston Ash,245.0,BASE CABINETS
B27,Houston Ash,261.0,BASE CABINETS
B30,Houston Ash,277.0,BASE CABINETS
B33,Houston Ash,291.0,BASE CABINETS
B36,Houston Ash,307.0,BASE CABINETS
B39,Houston Ash,381.0,BASE CABINETS
B42,Houston Ash,416.0,BASE CABINETS
DB12,Houston Ash,286.0,BASE CABINETS
DB15,Houston Ash,311.0,BASE CABINETS
DB18,Houston Ash,336.0,BASE CABINETS
DB21,Houston Ash,362.0,BASE CABINETS
DB24,Houston Ash,387.0,BASE CABINETS
DB27,Houston Ash,398.0,BASE CABINETS
DB30,Houston Ash,408.0,BASE CABINETS
DB33,Houston Ash,421.0,BASE CABINETS
DB36,Houston Ash,442.0,BASE CABINETS
DB24-2,Houston Ash,387.0,BASE CABINETS
